omega,n_sites,rep,branch,NOE,pvalue,is_fg
1.25,3000,5,C,0.06658333333333337,0.06,False
1.25,3000,5,D,-0.01612499999999998,0.56,False
1.25,3000,6,A,0.0015833333333333671,0.6,True
1.25,3000,6,B,0.018875000000000034,0.52,False
1.25,3000,6,C,-0.005083333333333306,0.7,False
1.25,3000,6,D,-0.06279166666666663,0.92,False
1.25,3000,7,A,-0.038791666666666634,0.78,True
1.25,3000,7,B,0.05912500000000003,0.06,False
1.25,3000,7,C,0.0576666666666667,0.0,False
1.25,3000,7,D,-0.03212499999999996,0.68,False
1.25,3000,8,A,0.06112500000000003,0.08,True
1.25,3000,8,B,-0.022833333333333303,0.62,False
1.25,3000,8,C,-0.07491666666666665,0.82,False
1.25,3000,8,D,0.04216666666666669,0.16,False
1.25,3000,9,A,0.07995833333333335,0.0,True
1.25,3000,9,B,-0.010458333333333309,0.48,False
1.25,3000,9,C,0.017041666666666698,0.26,False
1.25,3000,9,D,-0.07441666666666662,0.74,False
1.25,3000,10,A,0.032375000000000036,0.5,True
1.25,3000,10,B,-0.09554166666666666,1.0,False
1.25,3000,10,C,-0.02470833333333332,0.78,False
1.25,3000,10,D,-0.004916666666666639,0.72,False
1.25,3000,11,A,0.0462916666666667,0.1,True
1.25,3000,11,B,0.005458333333333346,0.28,False
1.25,3000,11,C,-0.06287499999999999,0.86,False
1.25,3000,11,D,-0.041208333333333305,0.68,False
1.25,3000,12,A,0.0585,0.14,True
1.25,3000,12,B,0.0176666666666667,0.4,False
1.25,3000,12,C,-0.125875,1.0,False
1.25,3000,12,D,0.03079166666666669,0.46,False
1.25,3000,13,A,-0.018041666666666643,0.64,True
1.25,3000,13,B,0.026958333333333348,0.22,False
1.25,3000,13,C,-0.04720833333333331,0.7,False
1.25,3000,13,D,-0.03366666666666665,0.64,False
1.25,3000,14,A,0.06429166666666669,0.02,True
1.25,3000,14,B,-0.07445833333333331,0.7,False
1.25,3000,14,C,0.02137500000000003,0.18,False
1.25,3000,14,D,0.0020000000000000295,0.08,False
1.25,3000,15,A,0.05058333333333337,0.02,True
1.25,3000,15,B,-0.05129166666666664,0.76,False
1.25,3000,15,C,-0.01920833333333332,0.48,False
1.25,3000,15,D,0.054541666666666704,0.02,False
1.25,3000,16,A,-0.031708333333333304,0.48,True
1.25,3000,16,B,0.058708333333333355,0.08,False
1.25,3000,16,C,0.02058333333333335,0.12,False
1.25,3000,16,D,-0.0017083333333332926,0.22,False
1.25,3000,17,A,0.09300000000000003,0.0,True
1.25,3000,17,B,-0.07533333333333331,0.94,False
1.25,3000,17,C,0.03779166666666668,0.24,False
1.25,3000,17,D,-0.13470833333333332,1.0,False
1.25,3000,18,A,-0.0026249999999999815,0.8,True
1.25,3000,18,B,-0.05554166666666663,0.96,False
1.25,3000,18,C,-0.054499999999999965,0.92,False
1.25,3000,18,D,0.0846666666666667,0.08,False
1.25,3000,19,A,0.02304166666666671,0.1,True
1.25,3000,19,B,-0.023833333333333317,0.28,False
1.25,3000,19,C,-0.005708333333333308,0.2,False
1.25,3000,19,D,0.04762500000000004,0.0,False
1.25,5000,0,A,0.02597500000000001,0.22,True
1.25,5000,0,B,0.016225000000000014,0.28,False
1.25,5000,0,C,-0.030399999999999986,0.68,False
1.25,5000,0,D,-0.008524999999999982,0.58,False
1.25,5000,1,A,0.07400000000000001,0.02,True
1.25,5000,1,B,-0.04812500000000001,0.86,False
1.25,5000,1,C,-0.077625,1.0,False
1.25,5000,1,D,0.015750000000000014,0.34,False
1.25,5000,2,A,0.03682500000000001,0.08,True
1.25,5000,2,B,-0.023174999999999994,0.7,False
1.25,5000,2,C,-0.024299999999999995,0.7,False
1.25,5000,2,D,-0.0021749999999999825,0.46,False
1.25,5000,3,A,-0.018124999999999995,0.58,True
1.25,5000,3,B,0.047875000000000015,0.1,False
1.25,5000,3,C,0.023125000000000007,0.2,False
1.25,5000,3,D,-0.03425,0.7,False
1.25,5000,4,A,0.008250000000000016,0.3,True
1.25,5000,4,B,-0.03749999999999999,0.64,False
1.25,5000,4,C,0.013625000000000009,0.14,False
1.25,5000,4,D,-0.0072499999999999926,0.32,False
1.25,5000,5,A,-0.015199999999999998,0.14,True
1.25,5000,5,B,-0.02957499999999999,0.3,False
1.25,5000,5,C,0.03755000000000002,0.0,False
1.25,5000,5,D,-0.002449999999999994,0.02,False
1.25,5000,6,A,-0.005074999999999984,0.12,True
1.25,5000,6,B,0.0025500000000000123,0.32,False
1.25,5000,6,C,0.019050000000000004,0.16,False
1.25,5000,6,D,-0.02857499999999999,0.6,False
1.25,5000,7,A,0.08317500000000001,0.0,True
1.25,5000,7,B,-0.04357499999999998,0.78,False
1.25,5000,7,C,-0.035325,0.7,False
1.25,5000,7,D,-0.010199999999999985,0.46,False
1.25,5000,8,A,0.004275000000000003,0.24,True
1.25,5000,8,B,-0.011724999999999982,0.48,False
1.25,5000,8,C,-0.009849999999999987,0.5,False
1.25,5000,8,D,0.016400000000000012,0.26,False
1.25,5000,9,A,0.046425000000000015,0.08,True
1.25,5000,9,B,0.02792500000000002,0.06,False
1.25,5000,9,C,-0.03819999999999999,0.42,False
1.25,5000,9,D,-0.03182499999999999,0.28,False
1.25,5000,10,A,0.02562500000000001,0.04,True
1.25,5000,10,B,-0.087125,0.86,False
1.25,5000,10,C,0.025875000000000016,0.0,False
1.25,5000,10,D,-0.04087499999999998,0.3,False
1.25,5000,11,A,-0.027224999999999996,0.88,True
1.25,5000,11,B,0.027649999999999997,0.38,False
1.25,5000,11,C,0.028400000000000016,0.44,False
1.25,5000,11,D,-0.02134999999999999,0.8,False
1.25,5000,12,A,0.0346,0.12,True
1.25,5000,12,B,0.01797499999999999,0.16,False
1.25,5000,12,C,-0.016900000000000002,0.4,False
1.25,5000,12,D,-0.054650000000000004,0.78,False
1.25,5000,13,A,-0.005724999999999992,0.2,True
1.25,5000,13,B,-0.01822499999999999,0.48,False
1.25,5000,13,C,-0.030724999999999995,0.44,False
1.25,5000,13,D,0.029150000000000006,0.12,False
1.25,5000,14,A,0.07430000000000002,0.28,True
1.25,5000,14,B,5.0000000000001866e-05,0.74,False
1.25,5000,14,C,-0.081325,1.0,False
1.25,5000,14,D,-0.012074999999999989,0.76,False
1.25,5000,15,A,0.06542500000000001,0.02,True
1.25,5000,15,B,0.02155,0.04,False
1.25,5000,15,C,-0.028325,0.52,False
1.25,5000,15,D,-0.036699999999999997,0.62,False
1.25,5000,16,A,-0.011649999999999985,0.08,True
1.25,5000,16,B,-0.027149999999999983,0.16,False
1.25,5000,16,C,-0.009149999999999991,0.14,False
1.25,5000,16,D,-0.025399999999999995,0.16,False
1.25,5000,17,A,0.00037500000000000727,0.74,True
1.25,5000,17,B,0.038125000000000006,0.24,False
1.25,5000,17,C,-0.019874999999999983,0.84,False
1.25,5000,17,D,0.040999999999999995,0.2,False
1.25,5000,18,A,0.0403,0.02,True
1.25,5000,18,B,-0.04457499999999999,0.76,False
1.25,5000,18,C,0.03242500000000001,0.1,False
1.25,5000,18,D,-0.011699999999999986,0.42,False
1.25,5000,19,A,-0.007699999999999988,0.32,True
1.25,5000,19,B,-0.010949999999999984,0.38,False
1.25,5000,19,C,-0.03844999999999999,0.64,False
1.25,5000,19,D,0.014425,0.1,False
