omega,n_sites,n_taxa,rep,branch,NOE,pvalue,ICEnorm,is_fg
1.25,1000,8,16,A,-0.052152777777777756,0.46,0.14235714764130356,True
1.25,1000,8,16,B,0.021597222222222236,0.1,0.1517059307641344,False
1.25,1000,8,16,C,0.023472222222222214,0.12,0.15682040944309905,False
1.25,1000,8,16,D,-0.11340277777777777,0.66,0.1534174424608707,False
1.25,1000,8,16,E,0.002847222222222244,0.2,0.14482755017648904,False
1.25,1000,8,16,F,-0.027152777777777762,0.28,0.136830510978246,False
1.25,1000,8,16,G,0.14909722222222224,0.04,0.15769394535375975,False
1.25,1000,8,16,H,-0.07777777777777778,0.38,0.1462206826687779,False
1.25,1000,8,17,A,-0.13847222222222225,0.94,0.13134094438841037,True
1.25,1000,8,17,B,-0.03909722222222223,0.62,0.13258223048171341,False
1.25,1000,8,17,C,-0.07847222222222223,0.72,0.13524030538496018,False
1.25,1000,8,17,D,0.05902777777777779,0.2,0.14949542191264426,False
1.25,1000,8,17,E,0.1390277777777778,0.04,0.1551231900442554,False
1.25,1000,8,17,F,-0.06034722222222219,0.66,0.12676774719302644,False
1.25,1000,8,17,G,0.0384027777777778,0.2,0.1481659024373075,False
1.25,1000,8,17,H,0.02465277777777776,0.32,0.14226592346164652,False
1.25,1000,8,18,A,0.006736111111111116,0.6,0.13501714568761122,True
1.25,1000,8,18,B,0.32048611111111114,0.0,0.15406565760042648,False
1.25,1000,8,18,C,-0.0020138888888888602,0.52,0.12993265260496673,False
1.25,1000,8,18,D,0.019861111111111118,0.58,0.14158525029766292,False
1.25,1000,8,18,E,-0.08701388888888889,0.96,0.15485021137526087,False
1.25,1000,8,18,F,-0.03826388888888887,0.76,0.12245723932443915,False
1.25,1000,8,18,G,-0.1076388888888889,0.98,0.1310522098743969,False
1.25,1000,8,18,H,-0.01701388888888887,0.6,0.14595956838060276,False
1.25,1000,8,19,A,0.00784722222222222,0.54,0.13937629753589673,True
1.25,1000,8,19,B,-0.06902777777777777,0.76,0.1322270730319347,False
1.25,1000,8,19,C,0.001597222222222229,0.52,0.13537200118083392,False
1.25,1000,8,19,D,-0.05965277777777778,0.86,0.13763871370097608,False
1.25,1000,8,19,E,0.03159722222222224,0.36,0.1351451337485961,False
1.25,1000,8,19,F,-0.11027777777777775,0.94,0.13586453714528932,False
1.25,1000,8,19,G,0.039097222222222235,0.38,0.13999152586787109,False
