regime,omega,rep,branch,NOE,pvalue,is_fg
long,1.0,0,B,-0.03299999999999995,0.54,False
long,1.0,0,C,0.027333333333333376,0.08,False
long,1.0,0,D,0.021000000000000064,0.18,False
long,1.0,1,A,-0.10726666666666664,0.94,False
long,1.0,1,B,-0.10959999999999996,0.96,False
long,1.0,1,C,0.06373333333333336,0.1,False
long,1.0,1,D,0.037733333333333376,0.16,False
long,1.0,2,A,0.024866666666666707,0.2,False
long,1.0,2,B,-0.00479999999999995,0.58,False
long,1.0,2,C,-0.06313333333333329,0.94,False
long,1.0,2,D,0.04020000000000006,0.22,False
long,1.0,3,A,-0.028733333333333277,0.5,False
long,1.0,3,B,-0.015733333333333287,0.56,False
long,1.0,3,C,-0.03106666666666661,0.58,False
long,1.0,3,D,-0.039733333333333294,0.66,False
long,1.0,4,A,-0.07033333333333328,0.86,False
long,1.0,4,B,-0.03033333333333329,0.74,False
long,1.0,4,C,0.040333333333333374,0.28,False
long,1.0,4,D,0.017666666666666726,0.42,False
long,1.0,5,A,0.07380000000000006,0.0,False
long,1.0,5,B,-0.12086666666666661,0.82,False
long,1.0,5,C,0.0044666666666667194,0.14,False
long,1.0,5,D,0.014466666666666711,0.1,False
long,1.0,6,A,-0.07879999999999998,0.88,False
long,1.0,6,B,0.03986666666666669,0.14,False
long,1.0,6,C,-0.05213333333333328,0.84,False
long,1.0,6,D,-0.017799999999999955,0.56,False
long,1.0,7,A,-0.005199999999999955,0.6,False
long,1.0,7,B,0.057466666666666714,0.24,False
long,1.0,7,C,-0.03919999999999997,0.8,False
long,1.0,7,D,-0.04019999999999996,0.8,False
long,1.0,8,A,-0.008533333333333278,0.64,False
long,1.0,8,B,-0.022533333333333287,0.68,False
long,1.0,8,C,-0.004866666666666613,0.68,False
long,1.0,8,D,-0.045533333333333294,0.88,False
long,1.0,9,A,0.04960000000000003,0.22,False
long,1.0,9,B,0.03560000000000004,0.34,False
long,1.0,9,C,-0.029733333333333282,0.68,False
long,1.0,9,D,-0.04273333333333329,0.68,False
long,1.0,10,A,-0.007799999999999953,0.44,False
long,1.0,10,B,0.026866666666666705,0.26,False
long,1.0,10,C,-0.0651333333333333,0.78,False
long,1.0,10,D,-0.041799999999999955,0.82,False
long,1.0,11,A,0.02813333333333337,0.4,False
long,1.0,11,B,-0.03586666666666662,0.78,False
long,1.0,11,C,0.01613333333333337,0.3,False
long,1.0,11,D,0.014133333333333387,0.44,False
long,1.0,12,A,-0.057266666666666605,0.68,False
long,1.0,12,B,0.06206666666666671,0.04,False
long,1.0,12,C,-0.008933333333333281,0.52,False
long,1.0,12,D,-0.005933333333333301,0.46,False
long,1.0,13,A,-0.013666666666666622,0.62,False
